# gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false "gmm-boost-silence --boost=1.25 1 exp/mono/14.mdl - |" "ark:gunzip -c exp/mono/fsts.1.gz|" "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train_500short/split4/1/utt2spk scp:data/train_500short/split4/1/cmvn.scp scp:data/train_500short/split4/1/feats.scp ark:- | add-deltas  ark:- ark:- |" "ark,t:|gzip -c >exp/mono/ali.1.gz" 
# Started at Fri Apr 14 06:16:13 CDT 2023
#
gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false 'gmm-boost-silence --boost=1.25 1 exp/mono/14.mdl - |' 'ark:gunzip -c exp/mono/fsts.1.gz|' 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train_500short/split4/1/utt2spk scp:data/train_500short/split4/1/cmvn.scp scp:data/train_500short/split4/1/feats.scp ark:- | add-deltas  ark:- ark:- |' 'ark,t:|gzip -c >exp/mono/ali.1.gz' 
gmm-boost-silence --boost=1.25 1 exp/mono/14.mdl - 
WARNING (gmm-boost-silence[5.5]:main():gmm-boost-silence.cc:82) The pdfs for the silence phones may be shared by other phones (note: this probably does not matter.)
LOG (gmm-boost-silence[5.5]:main():gmm-boost-silence.cc:93) Boosted weights for 5 pdfs, by factor of 1.25
LOG (gmm-boost-silence[5.5]:main():gmm-boost-silence.cc:103) Wrote model to -
apply-cmvn --utt2spk=ark:data/train_500short/split4/1/utt2spk scp:data/train_500short/split4/1/cmvn.scp scp:data/train_500short/split4/1/feats.scp ark:- 
add-deltas ark:- ark:- 
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134315-0002
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134315-0003
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134315-0005
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134315-0011
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134315-0013
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134315-0016
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134315-0018
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134315-0019
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134315-0020
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134315-0023
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134315-0026
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134315-0039
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134315-0040
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134315-0046
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134315-0055
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134315-0056
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134318-0001
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134318-0002
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134318-0004
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134318-0005
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 1088-134318-0016
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 118-47824-0002
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 118-47824-0004
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 118-47824-0010
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 118-47824-0012
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 118-47824-0013
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 118-47824-0015
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 118-47824-0019
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 118-47824-0020
